reaudit_id,dataset,repo,test_short,test_prompt,original_label,still_agree,corrected_label,reason,confidence,agreement_rule_note
11,nlp,bbbbbetty,randomized_label_sanity,Randomizing the labels results in accuracy dropping to be near a random guessing baseline (may not be 0.5 if the data is imbalanced) on a validation set.,Correct,No,Inconclusive,"The repo never implements a label-randomization run or reports the resulting validation accuracy, so it cannot pass that test.",,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
12,nlp,tomy00,no_path_feature_leakage,No path/filename text is fed as a feature unless explicitly intended.,Correct,Yes,Fail,"Because X = tweet.drop(columns=[""target""]) keeps all other columns, any id/Name/path-like columns present in train would be fed as features (and the fact test-time drops id/Name makes this inconsistency a real bug risk).",,"Concrete evidence supports the failing test case, so the audited failing test remains a valid fail."
13,nlp,samshen,no_avoidable_loops,"Code does not use explicit loops or Python control flow when matrix operations could have been used to implement the exact same operation more efficiently. If this property is not satisfied, show the matrix operations which should replace the raw Python logic.",Correct,Yes,Fail,The manual per-sample padding inside collate_fn can be replaced by torch.nn.utils.rnn.pad_sequence (batched padding) to avoid Python loops.,,"Concrete evidence supports the failing test case, so the audited failing test remains a valid fail."
14,titanic,karenkang,outperforms_baseline,"The model after the full training procedure outperforms a simple baseline (e.g., random or majority class) on an evaluation set.",Incorrect,No,Inconclusive,"Same logic: no eval/baseline comparison shown → Inconclusive, not FAIL.",,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
15,diabetic,hugolemonnier,no_path_feature_leakage,No path/filename text is fed as a feature unless explicitly intended.,Correct,Yes,Fail,"The test loop calls model(X) where X includes filename strings from the dataset batch, which is a direct violation of the requirement.",,"Concrete evidence supports the failing test case, so the audited failing test remains a valid fail."
16,nlp,aadimator,shuffling_discipline,Training dataloader shuffles or training dataset is shuffled for training; val/test do not shuffle.,Correct,Yes,Fail,"there is at least one validation codepath (val_iter via torchtext) with shuffle=True, violating “val does not shuffle” even if a later DataLoader fixes it.",,"Concrete evidence supports the failing test case, so the audited failing test remains a valid fail."
17,diabetic,gialongphm,no_train_test_leakage,"No leakage from test to train/val sets. If there is any model selection or hyperparameter tuning, then it uses val only.",Correct,Yes,Fail,"Augmenting/denoising before splitting without grouping originals guarantees a high risk of near-duplicate leakage across splits, which directly violates the “no leakage” requirement.",,"Concrete evidence supports the failing test case, so the audited failing test remains a valid fail."
18,nlp,bbbbbetty,device_dtype_consistency,"Model and inputs are consistently moved to one device; no implicit CPU<->GPU transfers; dtype policy (e.g., fp32/bf16) is applied consistently.",Incorrect,Yes,Pass,"Creating CPU tensors for logging/printing (e.g., .type(torch.FloatTensor) on an intermediate) isn’t evidence of implicit CPU↔GPU transfers unless that tensor is actually used in model computations on a different device.",,"The provided evidence is incorrect or invalid for the claimed failure, so the audited failing test should be treated as a pass."
19,diabetic,gialongphm,shuffling_discipline,Training dataloader shuffles or training dataset is shuffled for training; val/test do not shuffle.,Correct,No,Inconclusive,"The load_dataset helper always shuffles and there’s no evidence of disabling shuffling for val/test, so the requirement is violated.",,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
20,titanic,astriazhu,tiny_batch_overfit,The model can overfit a single (or tiny) batch to near-zero loss.,Correct,No,Inconclusive,The repo doesn’t include (or run) a tiny-batch overfitting experiment to demonstrate loss → ~0.,,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
21,titanic,yassineramdani,training_loss_behavior,"Training loss generally decreases during training and plateaus within the number of epochs used (if no loss is logged, then add logging to check this).",Incorrect,No,Inconclusive,"The repo at least logs train/test loss per epoch, so without actually running and showing a non-decreasing curve",,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
22,diabetic,gialongphm,training_only_augmentation,Any data augmentation is only performed on the training dataset; val/test dataset use deterministic preprocessing.,Correct,Yes,Fail,"The code explicitly merges augmented images into the full dataset before splitting, so augmented samples can land in val/test, violating the requirement.",,"Concrete evidence supports the failing test case, so the audited failing test remains a valid fail."
23,diabetic,fanbyprinciple,parameter_updates,"If there is any model training, then all model parameters are updated during training (no frozen layers unless explicitly intended).",Incorrect,Yes,Pass,"Freezing a pretrained backbone and training only the final layer is a common and often intended transfer-learning setup, and the evidence doesn’t show it was unintended.",,"The provided evidence is incorrect or invalid for the claimed failure, so the audited failing test should be treated as a pass."
24,nlp,aryagokh,deterministic_accuracy,Accuracy should be deterministic (same value) when running the model evaluation multiple times without retraining.,Incorrect,No,Fail,"The repo does not set seeds or deterministic settings (and relies on Trainer/GPU defaults), so repeated evaluations are not guaranteed to match exactly.",,"Concrete evidence supports the failing test case, so the audited failing test remains a valid fail."
25,titanic,aakash143rathee,shuffling_discipline,Training dataloader shuffles or training dataset is shuffled for training; val/test do not shuffle.,Correct,Yes,Fail,"The notebook sets shuffle=True for both data_loader_train and data_loader_val, which violates the requirement that val/test not shuffle.",,"Concrete evidence supports the failing test case, so the audited failing test remains a valid fail."
26,nlp,mahmoudlimam,correct_data_loading,"Data is loaded and preprocessed correctly (e.g., no all-black images, no text with weird or unexpected characters, tables look correct and feature values are reasonable).",Incorrect,No,Inconclusive,"The FAIL justification is mostly speculative / over-scoped: the test claims data is not loaded/preprocessed “correctly,” but the evidence mainly says “it doesn’t explicitly remove emojis / non-ASCII” and “doesn’t assert cleaned text.” That’s not the same as showing the loaded text actually contains “weird/unexpected characters” or that tables/values are unreasonable. Also, “WordNetLemmatizer called on whole strings” is a preprocessing-quality issue, but it doesn’t prove the data is malformed. A proper FAIL would need concrete evidence like: NaNs in text causing tokenizer crashes, corrupted rows, unexpected control chars, or obviously broken distributions; none is shown.",,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
27,nlp,hanifalirsyad,correct_data_loading,"Data is loaded and preprocessed correctly (e.g., no all-black images, no text with weird or unexpected characters, tables look correct and feature values are reasonable).",Incorrect,No,Inconclusive,"This test is about correctness/sanity of loaded data, and “no explicit cleaning/validation code” alone doesn’t prove preprocessing is incorrect (it just means it’s minimal), so a FAIL needs concrete evidence of bad/garbled data or runtime-broken preprocessing.",,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
28,diabetic,makerlin,training_loss_behavior,"Training loss generally decreases during training and plateaus within the number of epochs used (if no loss is logged, then add logging to check this).",Correct,No,Inconclusive,"The repo performs no training and logs no training loss, so the requirement cannot be satisfied from the repository contents.",,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
29,nlp,takamichitoda,tiny_batch_overfit,The model can overfit a single (or tiny) batch to near-zero loss.,Correct,Yes,Fail,"If the notebook contains a real syntax error in the adversarial/perturbation path that is executed during training, then training can’t run as-is, so it’s valid to fail an “overfit tiny batch” capability test.",,"Concrete evidence supports the failing test case, so the audited failing test remains a valid fail."
30,titanic,voctorianora,randomized_label_sanity,Randomizing the labels results in accuracy dropping to be near a random guessing baseline (may not be 0.5 if the data is imbalanced) on a validation set.,Incorrect,No,Inconclusive,"Missing a label-randomization experiment means the result is Inconclusive, not a demonstrated failure of the property.",,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
31,nlp,hoangpham51,correct_data_loading,"Data is loaded and preprocessed correctly (e.g., no all-black images, no text with weird or unexpected characters, tables look correct and feature values are reasonable).",Correct,Yes,Fail,"If the cleaning cell is syntactically corrupted (no valid return) and the function is never applied to train_data/test_data, then the repo cannot be said to perform reliable preprocessing or character-sanity guarantees.",,"Concrete evidence supports the failing test case, so the audited failing test remains a valid fail."
32,diabetic,siddheshshelke,correct_metric_definition,"Reported metrics use the correct split(s) and the exact definitions claimed (e.g., micro vs macro, top-k).",Incorrect,No,Inconclusive,"The notebook does not claim or report such evaluation metrics at all (it only logs GAN training losses), so there’s no demonstrated misuse of splits/metric definitions to justify a FAIL.",,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
33,titanic,shadowhat,no_avoidable_loops,"Code does not use explicit loops or Python control flow when matrix operations could have been used to implement the exact same operation more efficiently. If this property is not satisfied, show the matrix operations which should replace the raw Python logic.",Correct,Yes,Fail,"Looping over samples, calling model() on each unsqueeze(0) input, and repeatedly concatenating tensors is exactly the kind of per-element Python control flow that should be replaced by a batched forward pass + argmax (or max) over the class dimension.",,"Concrete evidence supports the failing test case, so the audited failing test remains a valid fail."
34,nlp,sergiouribe10,randomized_label_sanity,Randomizing the labels results in accuracy dropping to be near a random guessing baseline (may not be 0.5 if the data is imbalanced) on a validation set.,Correct,No,Inconclusive,"There’s no label-randomization control experiment and no validation accuracy measurement, so FAIL is justified.",,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
35,nlp,zhuyuqiang,no_avoidable_loops,"Code does not use explicit loops or Python control flow when matrix operations could have been used to implement the exact same operation more efficiently. If this property is not satisfied, show the matrix operations which should replace the raw Python logic.",Incorrect,No,Fail,"The detokenization loop and mask list-comprehensions have direct vectorized replacements (Series.str.join, (ids > 0).astype(...)), so FAIL is justified under that strict criterion.",,"Concrete evidence supports the failing test case, so the audited failing test remains a valid fail."
36,titanic,karenkang,no_avoidable_loops,"Code does not use explicit loops or Python control flow when matrix operations could have been used to implement the exact same operation more efficiently. If this property is not satisfied, show the matrix operations which should replace the raw Python logic.",Correct,No,Pass,"Batch loops over a DataLoader for val/test prediction are normal and often required for memory, so treating them as a vectorization “failure” is an overly strict interpretation of that criterion.",,"The provided evidence is incorrect or invalid for the claimed failure, so the audited failing test should be treated as a pass."
37,nlp,makidooon,no_avoidable_loops,"Code does not use explicit loops or Python control flow when matrix operations could have been used to implement the exact same operation more efficiently. If this property is not satisfied, show the matrix operations which should replace the raw Python logic.",Correct,Yes,Fail,"Series.apply(clean_text) is a Python-level per-row loop and is directly replaceable by vectorized Series.str.* + str.replace(..., regex=True) operations for the same transformations.",,"Concrete evidence supports the failing test case, so the audited failing test remains a valid fail."
38,nlp,vladlen32230,no_avoidable_loops,"Code does not use explicit loops or Python control flow when matrix operations could have been used to implement the exact same operation more efficiently. If this property is not satisfied, show the matrix operations which should replace the raw Python logic.",Correct,Yes,Fail,"The FAIL is correct because it uses Python loops for token-length computation and repeatedly concatenates tensors in a loop, both of which have direct batched/torch vectorized replacements (return_length=True/attention_mask.sum, and list-collect + single torch.cat).",,"Concrete evidence supports the failing test case, so the audited failing test remains a valid fail."
39,titanic,katayu810,no_avoidable_loops,"Code does not use explicit loops or Python control flow when matrix operations could have been used to implement the exact same operation more efficiently. If this property is not satisfied, show the matrix operations which should replace the raw Python logic.",Correct,Yes,Fail,"map(int, ...) is a pure Python elementwise loop with exact vectorized casts available, and y_pred = net(X_train) inside a minibatch loop is a real inefficiency/bug that should be net(xx).",,"Concrete evidence supports the failing test case, so the audited failing test remains a valid fail."
40,titanic,yawong1983,shuffling_discipline,Training dataloader shuffles or training dataset is shuffled for training; val/test do not shuffle.,Correct,No,Inconclusive,"Full-graph training with fixed masks and no DataLoader/shuffle means training data isn’t shuffled in the intended sense, so failing this check is reasonable.",,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
41,nlp,ka06jn,device_dtype_consistency,"Model and inputs are consistently moved to one device; no implicit CPU<->GPU transfers; dtype policy (e.g., fp32/bf16) is applied consistently.",Incorrect,Yes,Pass,"HuggingFace Trainer handles device placement internally, so “no explicit .to(device) calls” alone isn’t evidence of inconsistent device/dtype behavior.",,"The provided evidence is incorrect or invalid for the claimed failure, so the audited failing test should be treated as a pass."
42,diabetic,raheelasghar407,device_dtype_consistency,"Model and inputs are consistently moved to one device; no implicit CPU<->GPU transfers; dtype policy (e.g., fp32/bf16) is applied consistently.",Incorrect,No,Inconclusive,"The cited evidence shows lack of explicit device/dtype policy, but it does not demonstrate an actual device mismatch, implicit CPU↔GPU transfer bug, or inconsistent dtype usage during execution.",,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
43,titanic,ericihli,correct_data_loading,"Data is loaded and preprocessed correctly (e.g., no all-black images, no text with weird or unexpected characters, tables look correct and feature values are reasonable).",Correct,Yes,Fail,"Independently fitting normalization and one-hot encoding on train vs. test (plus a likely-invalid random_split(dataset, [0.8, 0.2])) are real correctness hazards that can break or misalign features at training vs. inference.",,"Concrete evidence supports the failing test case, so the audited failing test remains a valid fail."
44,diabetic,vincycode,correct_data_loading,"Data is loaded and preprocessed correctly (e.g., no all-black images, no text with weird or unexpected characters, tables look correct and feature values are reasonable).",Incorrect,No,Inconclusive,"The evidence argues “no quality checks,” but it does not show the data is actually loaded/preprocessed incorrectly (e.g., all-black/corrupt images present or invalid labels), so FAIL isn’t justified.",,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
45,nlp,abdullah7aled,no_avoidable_loops,"Code does not use explicit loops or Python control flow when matrix operations could have been used to implement the exact same operation more efficiently. If this property is not satisfied, show the matrix operations which should replace the raw Python logic.",Correct,Yes,Fail,"The punctuation-removal + .apply and prediction int-casting can be replaced by vectorized Series.str.replace(...) chains and np.asarray(...).astype(int) respectively, so the loop-free requirement is violated.",,"Concrete evidence supports the failing test case, so the audited failing test remains a valid fail."
46,diabetic,siddheshshelke,correct_data_loading,"Data is loaded and preprocessed correctly (e.g., no all-black images, no text with weird or unexpected characters, tables look correct and feature values are reasonable).",Incorrect,No,Inconclusive,"Using ImageFolder with standard transforms and referencing external data does not demonstrate incorrect loading/preprocessing, only that the repo doesn’t include extra validation or bundled data.",,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
47,nlp,makidooon,correct_data_loading,"Data is loaded and preprocessed correctly (e.g., no all-black images, no text with weird or unexpected characters, tables look correct and feature values are reasonable).",Correct,No,Inconclusive,"The cleaning shown is basic (URLs/mentions/punctuation) and lacks explicit missing/empty-text checks and any normalization/filtering for non-ASCII/emoji/control chars, so it does not guarantee “no weird/unexpected characters.”",,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
48,diabetic,ayushrathor,device_dtype_consistency,"Model and inputs are consistently moved to one device; no implicit CPU<->GPU transfers; dtype policy (e.g., fp32/bf16) is applied consistently.",Correct,No,Inconclusive,"The notebook never sets a device or moves tensors/model explicitly while also calling .cpu() in prediction, so it does not enforce consistent device/dtype handling as required.",,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
49,diabetic,raheelasghar407,correct_data_loading,"Data is loaded and preprocessed correctly (e.g., no all-black images, no text with weird or unexpected characters, tables look correct and feature values are reasonable).",Incorrect,No,Inconclusive,"The evidence shows minimal checks and no automated all-black/text/table validation, but it does not demonstrate that the data is actually loaded or preprocessed incorrectly.",,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
50,diabetic,avinashkira,outperforms_baseline,"The model after the full training procedure outperforms a simple baseline (e.g., random or majority class) on an evaluation set.",Correct,No,Inconclusive,"The repo evaluates only on the training data and provides no held-out evaluation result or baseline comparison, so it fails the stated requirement.",,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
51,nlp,jiahuiyu729,training_loss_behavior,"Training loss generally decreases during training and plateaus within the number of epochs used (if no loss is logged, then add logging to check this).",Correct,No,Inconclusive,"With EPOCHS = 1, the code logs only one epoch loss so it cannot demonstrate “decreases then plateaus” across epochs.",,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
52,titanic,yawong1983,device_dtype_consistency,"Model and inputs are consistently moved to one device; no implicit CPU<->GPU transfers; dtype policy (e.g., fp32/bf16) is applied consistently.",Incorrect,Yes,Pass,"If the notebook is CPU-only (isGpuEnabled: false) and everything runs on default CPU with consistent .float()/.long(), there’s no device inconsistency or implicit transfers to flag.",,"The provided evidence is incorrect or invalid for the claimed failure, so the audited failing test should be treated as a pass."
53,diabetic,ayushrathor,randomized_label_sanity,Randomizing the labels results in accuracy dropping to be near a random guessing baseline (may not be 0.5 if the data is imbalanced) on a validation set.,Correct,No,Inconclusive,"The test explicitly requires a label-randomization + validation-accuracy experiment, and the repository does not implement it, so it cannot satisfy the requirement.",,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
54,titanic,trushildhokiya,correct_metric_definition,"Reported metrics use the correct split(s) and the exact definitions claimed (e.g., micro vs macro, top-k).",Correct,No,Inconclusive,"The notebook doesn’t report eval metrics on a labeled split (it logs training loss and makes a submission), so there’s nothing to verify.",,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
55,titanic,trushildhokiya,device_dtype_consistency,"Model and inputs are consistently moved to one device; no implicit CPU<->GPU transfers; dtype policy (e.g., fp32/bf16) is applied consistently.",Incorrect,Yes,Pass,"If everything stays on CPU with consistent fp32 tensors (and no partial GPU moves), it’s already “one device” with no implicit transfers, so lack of .to(device) alone isn’t a valid fail.",,"The provided evidence is incorrect or invalid for the claimed failure, so the audited failing test should be treated as a pass."
56,titanic,urbanspr1nter,shuffling_discipline,Training dataloader shuffles or training dataset is shuffled for training; val/test do not shuffle.,Incorrect,No,Inconclusive,"If they train on the full tensor without a DataLoader, “shuffle” is not applicable/meaningful (full-batch GD sees the same data regardless), so you can’t call it a failure of “train shuffles vs val/test don’t” unless the rubric explicitly requires mini-batch shuffling.",,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
57,nlp,hanifalirsyad,no_avoidable_loops,"Code does not use explicit loops or Python control flow when matrix operations could have been used to implement the exact same operation more efficiently. If this property is not satisfied, show the matrix operations which should replace the raw Python logic.",Incorrect,Yes,Pass,"The cited loops are mostly string/list bookkeeping (flattening lists, mapping labels to strings), not matrix operations, and the test’s “matrix ops” intent typically targets numeric tensor/array compute (e.g., batched inference/metrics)",,"The provided evidence is incorrect or invalid for the claimed failure, so the audited failing test should be treated as a pass."
58,diabetic,phmialong,no_avoidable_loops,"Code does not use explicit loops or Python control flow when matrix operations could have been used to implement the exact same operation more efficiently. If this property is not satisfied, show the matrix operations which should replace the raw Python logic.",Correct,Yes,Fail,"The “pick one example per class” nested loops have an exact vectorized equivalent using concatenation + boolean masking + argmax (same selected outputs), so FAIL is justified",,"Concrete evidence supports the failing test case, so the audited failing test remains a valid fail."
59,nlp,aadimator,device_dtype_consistency,"Model and inputs are consistently moved to one device; no implicit CPU<->GPU transfers; dtype policy (e.g., fp32/bf16) is applied consistently.",Incorrect,Yes,Pass,"mixing .to(device) and .cuda() is redundant but not inherently inconsistent, and not using map_location is a portability risk rather than proof of implicit transfers during a given run.",,"The provided evidence is incorrect or invalid for the claimed failure, so the audited failing test should be treated as a pass."
60,nlp,akhilakamma,correct_data_loading,"Data is loaded and preprocessed correctly (e.g., no all-black images, no text with weird or unexpected characters, tables look correct and feature values are reasonable).",Correct,No,Inconclusive,"If the notebook just read_csv’s and tokenizes raw text with no sanity checks/normalization/validation, the FAIL is a fair call under a rubric that requires explicit preprocessing/validation evidence.",,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
61,diabetic,raheelasghar407,no_avoidable_loops,"Code does not use explicit loops or Python control flow when matrix operations could have been used to implement the exact same operation more efficiently. If this property is not satisfied, show the matrix operations which should replace the raw Python logic.",Incorrect,Yes,Pass,"Grad-CAM over a folder is inherently per-image I/O + per-image side-effect work (loading, overlaying, saving/visualizing), so it’s not an “exact same operation” that can be fully replaced by matrix ops end-to-end in the way this test intends.",,"The provided evidence is incorrect or invalid for the claimed failure, so the audited failing test should be treated as a pass."
62,nlp,nadzmiagthomas,no_avoidable_loops,"Code does not use explicit loops or Python control flow when matrix operations could have been used to implement the exact same operation more efficiently. If this property is not satisfied, show the matrix operations which should replace the raw Python logic.",Correct,Yes,Fail,"The cited evidence shows real Python loops (to_bow counting loop and nested threshold/confusion-matrix loops) where straightforward vectorized equivalents (e.g., torch.bincount, broadcasting over thresholds) exist, so flagging this as FAIL is justified.",,"Concrete evidence supports the failing test case, so the audited failing test remains a valid fail."
63,nlp,muhammadareebkhan,training_only_augmentation,Any data augmentation is only performed on the training dataset; val/test dataset use deterministic preprocessing.,Correct,Yes,Fail,"The FAIL is justified by the ordering: RandomOverSampler.fit_resample(...) is applied before train_test_split, so duplicated/resampled examples can leak into the eval split. That violates “augmentation only on training.”",,"Concrete evidence supports the failing test case, so the audited failing test remains a valid fail."
64,titanic,zhihaotang615,shuffling_discipline,Training dataloader shuffles or training dataset is shuffled for training; val/test do not shuffle.,Incorrect,No,Inconclusive,"RandomSplitter makes a randomized split, but “val indices are in random order” isn’t the same as “val is shuffled” in the usual sense, and ordering doesn’t affect evaluation; without a DataLoader shuffle or explicit per-epoch reshuffle requirement, this should be Inconclusive/Not applicable, not a definite FAIL.",,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
65,nlp,samshen,correct_metric_definition,"Reported metrics use the correct split(s) and the exact definitions claimed (e.g., micro vs macro, top-k).",Correct,Yes,Fail,"The notebook reports “validation” metrics on inconsistent splits (one path uses a pre-made x_val/y_val, another uses validation_split), so the reported metric isn’t tied to one defined eval split.",,"Concrete evidence supports the failing test case, so the audited failing test remains a valid fail."
66,titanic,yawong1983,correct_metric_definition,"Reported metrics use the correct split(s) and the exact definitions claimed (e.g., micro vs macro, top-k).",Incorrect,Yes,Pass,"Passing hard class predictions (0/1) to roc_auc_score is allowed (AUC on scores is preferred, but AUC is still defined for binary predictions—just less informative), and the primary metric (val accuracy) is computed on the right split.",,"The provided evidence is incorrect or invalid for the claimed failure, so the audited failing test should be treated as a pass."
67,nlp,hemanthhvv,device_dtype_consistency,"Model and inputs are consistently moved to one device; no implicit CPU<->GPU transfers; dtype policy (e.g., fp32/bf16) is applied consistently.",Incorrect,Yes,Pass,"Using Hugging Face Trainer without manual .to(device)/fp16 flags still typically enforces consistent device placement and a consistent default dtype (fp32), so “FAIL because it’s not explicit” doesn’t follow from the test’s behavioral requirement.",,"The provided evidence is incorrect or invalid for the claimed failure, so the audited failing test should be treated as a pass."
68,nlp,muhammadareebkhan,no_avoidable_loops,"Code does not use explicit loops or Python control flow when matrix operations could have been used to implement the exact same operation more efficiently. If this property is not satisfied, show the matrix operations which should replace the raw Python logic.",Correct,Yes,Fail,"The cited .apply(length), .map(lambda x: len(x)), and list-comprehension patterns all have direct vectorized replacements (.str.len(), .str.split().str.len(), and vectorized mean-length computations). The confusion-matrix text-annotation loop is arguably visualization-only, but the other items are valid reasons for FAIL.",,"Concrete evidence supports the failing test case, so the audited failing test remains a valid fail."
69,titanic,uyangas,no_avoidable_loops,"Code does not use explicit loops or Python control flow when matrix operations could have been used to implement the exact same operation more efficiently. If this property is not satisfied, show the matrix operations which should replace the raw Python logic.",Correct,Yes,Fail,"The cited .apply(lambda x: x[0]), manual title-building loop, and list-comprehension thresholding are clear Python-level ops with exact vectorized equivalents (.str[0], np.select/regex extract, boolean compare + .astype(int)).",,"Concrete evidence supports the failing test case, so the audited failing test remains a valid fail."
70,nlp,mahmoudlimam,device_dtype_consistency,"Model and inputs are consistently moved to one device; no implicit CPU<->GPU transfers; dtype policy (e.g., fp32/bf16) is applied consistently.",Correct,Yes,Fail,"Mixing accelerator.prepare(...)/.to(device) with hard-coded .cuda() in inference is inconsistent device handling; it can cause device mismatches or transfers depending on runtime. Also, no explicit dtype policy is applied. FAIL is justified.",,"Concrete evidence supports the failing test case, so the audited failing test remains a valid fail."
71,diabetic,munchic,deterministic_accuracy,Accuracy should be deterministic (same value) when running the model evaluation multiple times without retraining.,Correct,Yes,Fail,"Inference is run without net.eval() and without PyTorch seeding/determinism settings while using CUDA, so identical repeated accuracy isn’t guaranteed.",,"Concrete evidence supports the failing test case, so the audited failing test remains a valid fail."
72,nlp,ambrustorok,correct_data_loading,"Data is loaded and preprocessed correctly (e.g., no all-black images, no text with weird or unexpected characters, tables look correct and feature values are reasonable).",Correct,No,Inconclusive,"The FAIL is correct because the notebook only concatenates fields into inputs and shows no validation/handling for missing/empty text or unexpected characters, so it doesn’t ensure the data-quality conditions the test asserts.",,"Required evidence for the claimed failure is missing or not present, so the audited failing test is inconclusive rather than a fail."
